X, Y, Z
0.594828,0.11817,-0.123058
0.595059,0.00561114,-0.0226266
0.595158,0.0963352,-0.0850854
0.595343,0.0664868,-0.060594
0.595385,0.146566,-0.17491
0.596658,0.133698,-0.147117
0.596768,0.0410685,-0.043628
0.602215,-0.0268778,-0.00427246
0.642461,-0.0221852,-0.00254797
0.642475,0.0713409,-0.0575282
0.644013,0.0063736,-0.0168268
0.644313,0.133261,-0.13649
0.64524,0.124358,-0.121167
0.645351,0.151342,-0.175203
0.64617,0.0975521,-0.0821663
0.647823,0.0508686,-0.0402016
0.65874,0.12875,-0.151127
0.673383,-0.0211251,-0.00200084
0.690573,0.125981,-0.110191
0.69086,0.0721674,-0.0549539
0.693621,0.0054899,-0.0138779
0.694807,0.157471,-0.175294
0.696278,0.104833,-0.079625
0.696316,0.0510675,-0.0377978
0.697546,0.140982,-0.133258
0.742503,0.139937,-0.13388
0.743256,0.00654026,-0.0143148
0.744745,0.106043,-0.0792509
0.745034,0.15606,-0.175446
0.745645,0.05525,-0.0373044
0.746424,0.075502,-0.054928
0.747993,0.128144,-0.114566
0.751863,-0.0251365,-0.00309825
0.792314,0.125191,-0.10821
0.793488,0.0541709,-0.0367295
0.79438,0.100312,-0.0785258
0.794853,0.15479,-0.175093
0.795216,0.00436433,-0.0141013
0.796381,0.138908,-0.132009
0.799573,0.0755579,-0.0536135
