X, Y, Z
0.931586,0.135852,-0.144213
0.894221,0.135914,-0.137203
0.842142,0.13644,-0.13728
0.796381,0.138908,-0.132009
0.742503,0.139937,-0.13388
0.697546,0.140982,-0.133258
0.644313,0.133261,-0.13649
0.596658,0.133698,-0.147117
0.993709,0.138939,-0.180295
0.942286,0.141849,-0.177687
0.895065,0.145917,-0.175366
0.844708,0.149812,-0.17568
0.794853,0.15479,-0.175093
0.745034,0.15606,-0.175446
0.694807,0.157471,-0.175294
0.645351,0.151342,-0.175203
0.595385,0.146566,-0.17491
0.993793,0.089909,-0.0906755
0.944841,0.0908483,-0.0860063
0.893926,0.0955574,-0.0820141
0.842658,0.103625,-0.0817238
0.79438,0.100312,-0.0785258
0.744745,0.106043,-0.0792509
0.696278,0.104833,-0.079625
0.64617,0.0975521,-0.0821663
0.595158,0.0963352,-0.0850854
0.9952,0.112605,-0.125225
0.946572,0.118631,-0.122143
0.895812,0.119373,-0.112815
0.8479,0.124533,-0.115137
0.792314,0.125191,-0.10821
0.747993,0.128144,-0.114566
0.690573,0.125981,-0.110191
0.64524,0.124358,-0.121167
0.594828,0.11817,-0.123058
0.995314,0.126698,-0.160719
0.96337,0.127682,-0.161788
0.65874,0.12875,-0.151127
0.984804,0.0384091,-0.045487
0.942891,0.0439826,-0.0439447
0.895184,0.0495899,-0.0408854
0.84357,0.0494916,-0.037544
0.793488,0.0541709,-0.0367295
0.745645,0.05525,-0.0373044
0.696316,0.0510675,-0.0377978
0.647823,0.0508686,-0.0402016
0.596768,0.0410685,-0.043628
0.995794,0.0608233,-0.066303
0.945434,0.0671664,-0.0611228
0.896992,0.0712853,-0.057217
0.850723,0.071796,-0.0582624
0.799573,0.0755579,-0.0536135
0.746424,0.075502,-0.054928
0.69086,0.0721674,-0.0549539
0.642475,0.0713409,-0.0575282
0.595343,0.0664868,-0.060594
0.995456,0.00846143,-0.035235
0.946748,0.00487204,-0.0291357
0.890016,0.0024658,-0.0191237
0.849546,0.00514563,-0.0182305
0.795216,0.00436433,-0.0141013
0.743256,0.00654026,-0.0143148
0.693621,0.0054899,-0.0138779
0.644013,0.0063736,-0.0168268
0.595059,0.00561114,-0.0226266
0.992934,-0.0474183,-0.0166348
0.943865,-0.0373464,-0.0105678
0.909699,-0.0271478,-0.0093776
0.839537,-0.0317116,-0.00641655
0.816801,-0.0229474,-0.00513731
0.751863,-0.0251365,-0.00309825
0.673383,-0.0211251,-0.00200084
0.642461,-0.0221852,-0.00254797
0.602215,-0.0268778,-0.00427246
1.01124,-0.0774371,-0.010033
