X, Y, Z
-0.0754328,-0.581767,0.75231
-0.0677636,-0.582242,0.753442
-0.397945,-0.303051,0.848523
-0.398725,-0.297497,0.853936
-0.183309,-0.645354,0.738943
-0.178734,-0.641888,0.736547
-0.180594,-0.64209,0.741085
-0.177609,-0.638438,0.738069
-0.163629,-0.633177,0.741983
-0.1563,-0.633811,0.740575
-0.16523,-0.632152,0.745501
-0.153899,-0.629283,0.745464
-0.148173,-0.624197,0.743341
-0.151206,-0.618398,0.751908
-0.14502,-0.617919,0.746394
-0.13588,-0.61419,0.744855
-0.151187,-0.612774,0.751223
-0.14422,-0.607538,0.750675
-0.134567,-0.608201,0.751185
-0.126005,-0.607037,0.751251
-0.119269,-0.603147,0.749939
-0.0148898,-0.609253,0.747336
-0.142089,-0.604228,0.757101
-0.139592,-0.605107,0.757738
-0.122448,-0.604025,0.756567
-0.115316,-0.599996,0.754935
-0.10926,-0.594851,0.755618
-0.0435512,-0.595612,0.756528
-0.0360231,-0.597421,0.755177
-0.0286969,-0.59982,0.754697
-0.110051,-0.595878,0.760033
-0.10453,-0.591885,0.758325
-0.095259,-0.587424,0.759434
-0.0895881,-0.586026,0.761491
-0.061121,-0.585691,0.759194
-0.0552213,-0.590108,0.758579
-0.0482569,-0.594406,0.757643
-0.0844062,-0.58469,0.760545
-0.0746018,-0.584081,0.760973
-0.0658488,-0.584372,0.760968
-0.399847,-0.298382,0.860864
-0.184649,-0.646301,0.745512
-0.181383,-0.642031,0.745364
-0.161608,-0.631428,0.754304
-0.156965,-0.629197,0.754031
-0.155201,-0.623377,0.756379
-0.134036,-0.606801,0.759037
-0.129342,-0.606523,0.758997
-0.140888,-0.60347,0.761881
-0.135606,-0.605451,0.763231
-0.124724,-0.604691,0.764155
-0.116553,-0.600761,0.764975
-0.0423621,-0.598812,0.765351
-0.0355213,-0.60224,0.764848
-0.113346,-0.596694,0.768714
-0.105757,-0.593413,0.767958
-0.0950872,-0.590231,0.769162
-0.0893022,-0.588431,0.768597
-0.0606587,-0.587954,0.767174
-0.0546025,-0.592095,0.768072
-0.047523,-0.59728,0.76677
-0.0851441,-0.588094,0.769397
-0.0750896,-0.587034,0.769894
-0.0647547,-0.586799,0.769784
-0.0591319,-0.589091,0.771868
-0.161795,-0.629474,0.760576
-0.160768,-0.627785,0.76119
-0.141079,-0.606958,0.775764
-0.134279,-0.606837,0.773614
-0.125912,-0.603952,0.773206
-0.0421819,-0.60241,0.774846
-0.0364066,-0.606316,0.774101
-0.122645,-0.6006,0.777603
-0.115307,-0.596591,0.776836
-0.104996,-0.593937,0.778092
-0.095268,-0.593177,0.778849
-0.0882698,-0.593256,0.781511
-0.0526682,-0.594657,0.777757
-0.0472926,-0.600012,0.77662
-0.0839427,-0.591595,0.778163
-0.0748578,-0.590919,0.779559
-0.0646754,-0.590272,0.77965
-0.0575086,-0.591595,0.779617
-0.0314147,-0.615199,0.782266
-0.0295266,-0.616886,0.782539
-0.141269,-0.608083,0.782196
-0.135465,-0.606991,0.782322
-0.129129,-0.604514,0.781721
-0.0418527,-0.606142,0.784621
-0.0364637,-0.610402,0.783238
-0.132459,-0.603246,0.786944
-0.125345,-0.600639,0.787462
-0.115642,-0.597388,0.787906
-0.105006,-0.596597,0.788433
-0.0953655,-0.595664,0.787289
-0.0849499,-0.595908,0.788596
-0.0799061,-0.595759,0.788809
-0.0519672,-0.596408,0.78758
-0.046986,-0.601312,0.786655
-0.122866,-0.59566,0.792109
-0.11925,-0.595952,0.792109
-0.10109,-0.596667,0.791672
-0.0948109,-0.596667,0.791672
-0.086239,-0.595849,0.789486
-0.0749796,-0.5947,0.788435
-0.064814,-0.594602,0.789763
-0.0570138,-0.594462,0.787685
-0.0309551,-0.618684,0.789937
-0.0273072,-0.621962,0.791595
-0.0410257,-0.608535,0.791913
-0.0359743,-0.613581,0.79344
-0.132015,-0.602431,0.791702
-0.128045,-0.599404,0.792804
-0.112868,-0.598769,0.795491
-0.107952,-0.598705,0.795305
-0.0846309,-0.599214,0.797033
-0.0785199,-0.599507,0.798797
-0.0609757,-0.600606,0.801944
-0.0537821,-0.599825,0.798034
-0.0444735,-0.604318,0.795815
-0.0394361,-0.609016,0.798528
-0.120704,-0.594969,0.794418
-0.114529,-0.597261,0.798716
-0.104703,-0.595924,0.799222
-0.0958602,-0.59623,0.798982
-0.0889918,-0.599017,0.798478
-0.0739712,-0.598631,0.797815
-0.0651658,-0.598439,0.798163
-0.0579243,-0.597911,0.79583
-0.399742,-0.664819,0.788247
-0.0303065,-0.620153,0.795893
-0.0269878,-0.621346,0.796878
-0.0333244,-0.615327,0.799231
-0.0282985,-0.619608,0.800136
-0.083052,-0.602013,0.805334
-0.0790363,-0.602111,0.805653
-0.0638259,-0.603288,0.808506
-0.0551051,-0.603558,0.806694
-0.044098,-0.606291,0.805927
-0.0376441,-0.608241,0.803658
-0.0925172,-0.59783,0.808303
-0.0870433,-0.602028,0.808743
-0.0745711,-0.602335,0.807986
-0.0671458,-0.601847,0.805867
-0.399554,-0.67301,0.793682
-0.399259,-0.668507,0.792461
-0.0644028,-0.606327,0.816128
-0.0549805,-0.607909,0.815993
-0.0445449,-0.608573,0.814801
-0.0392155,-0.606905,0.812067
-0.0905864,-0.598439,0.814438
-0.0844596,-0.602336,0.816496
-0.0753006,-0.603804,0.81777
-0.0685823,-0.606178,0.818953
-0.399798,-0.6759,0.798661
-0.399841,-0.67272,0.798044
-0.0618745,-0.609179,0.823783
-0.0551974,-0.611544,0.825921
-0.0474779,-0.611746,0.824435
-0.0726521,-0.604415,0.824957
-0.0654024,-0.607411,0.825985
-0.0592897,-0.609698,0.829762
-0.0531323,-0.612911,0.83225
-0.0495516,-0.61352,0.832007
-0.0572866,-0.610408,0.831791
-0.399579,-0.68834,0.828711
-0.399818,-0.683871,0.829529
