X, Y, Z
0.594828,-0.118169,-0.023058
0.595059,-0.0056115,0.0773734
0.595158,-0.096335,0.0149145
0.595343,-0.0664856,-0.060594
0.595385,-0.146564,-0.07491
0.596658,-0.133698,-0.047117
0.596768,-0.0410678,0.056372
0.602215,0.0268777,0.09572754
0.642461,0.0221851,0.09745203
0.642475,-0.0713408,0.0424719
0.644013,-0.0063742,0.0831732
0.644313,-0.133261,-0.036491
0.64524,-0.124358,-0.021167
0.645351,-0.151341,-0.075203
0.64617,-0.0975514,0.0178338
0.647823,-0.0508691,0.0597984
0.65874,-0.12875,-0.051127
0.673383,0.0211251,0.09799916
0.690573,-0.125982,-0.010191
0.69086,-0.0721664,0.0450461
0.693621,-0.00549014,0.0861221
0.694807,-0.157469,-0.075294
0.696278,-0.104831,0.020375
0.696316,-0.0510659,0.0622022
0.697546,-0.140979,-0.033258
0.742503,-0.139936,-0.03388
0.743256,-0.00654133,0.0856852
0.744745,-0.106045,0.0207492
0.745034,-0.156059,-0.075446
0.745645,-0.0552494,0.0626957
0.746424,-0.0755018,0.045072
0.747993,-0.128145,-0.014566
0.751863,0.025136,0.09690175
0.792314,-0.125193,-0.00821
0.793488,-0.0541701,0.0632704
0.79438,-0.100311,0.0214744
0.794853,-0.154792,-0.075093
0.795216,-0.00436337,0.0858987
0.796381,-0.138908,-0.03201
0.799573,-0.0755565,0.0463866
0.816801,0.0229475,0.09486269
0.839537,0.0317117,0.09358345
0.842142,-0.13644,-0.03728
0.842658,-0.103626,0.0182762
0.84357,-0.0494909,0.062456
0.844708,-0.149812,-0.07568
0.8479,-0.124534,-0.015137
0.849546,-0.00514408,0.0817695
0.850723,-0.0717955,0.0417376
0.890016,-0.00246485,0.0808763
0.893926,-0.095558,0.017986
0.894221,-0.135913,-0.037203
0.895065,-0.145918,-0.075367
0.895184,-0.0495901,0.0591146
0.895812,-0.119375,-0.012815
0.896992,-0.0712858,0.042783
0.909699,0.0271481,0.0906224
0.931586,-0.135852,-0.044213
0.942286,-0.141851,-0.077687
0.942891,-0.043982,0.0560553
0.943865,0.0373453,0.0894322
0.944841,-0.0908474,0.0139937
0.945434,-0.0671663,0.0388772
0.946572,-0.11863,-0.022143
0.946748,-0.00487109,0.0708643
0.96337,-0.127683,-0.061788
0.984804,-0.038409,0.054513
0.992934,0.0474182,0.0833652
0.993709,-0.138939,-0.080295
0.993793,-0.0899093,-0.1159005
0.995199,-0.112602,-0.025225
0.995314,-0.126697,-0.060719
0.995456,-0.00846119,0.064765
0.995794,-0.0608227,0.0336969
1.01124,0.0774367,0.089967
1.03337,0.0758218,0.0898371
1.03464,-0.135,-0.0878
1.04163,-0.00468834,0.0588395
1.04372,-0.0551645,0.0332912
1.04411,-0.0865303,0.0110525
1.0448,-0.111874,-0.024978
1.04639,-0.0273256,0.0484464
1.04658,0.047616,0.0782161
1.04713,-0.126015,-0.071176
1.0491,-0.0336875,0.0507681
1.07928,0.0825233,0.09190996
1.09431,-0.0201268,0.0462041
1.09448,-0.0572451,0.0283258
1.09453,-0.111982,-0.024394
1.09456,0.000702424,0.0545061
1.0946,-0.113926,-0.074691
1.0955,0.0470425,0.0719042
1.09612,-0.0885732,0.0074901
